content,target,category,score
리뷰도 작성자동 꺼지고 어플 재설치해도 열리지 않고 인내심 테스트하시나요? 문제가 있다면 알림서비스도 있어야하지 않나요 도대체 왜 열면 그냥 꺼질까요???,1,1,2.0
어플 첨부터 다시만드는게 나을것 같네요 보다가 계속 꺼지는 게 한두번도아니라서 화나고 다시 결제하려고 하니까 마지막에 승인받으려고 하면 렉걸리고 진짜 인내심테스트하나요?? 진짜 넷플 이나 웨이브는 잘만되는데 이건 안되는건 기기문제는 아닌것 같네요 개발자들 다시한번 점검해보세요,1,3,3.0
아에 접속이안된지 몇일된거같은데 조치안해줍니까? 1년치 결제한거 새삼 돈아깝게 느낍니다 tvn꺼만 아니였어도 티빙가입도 안했을거같은데 빨리처리좀 합시다 아니 일좀하세요,0,0,0.0
별한개도 아깝다. 이걸 쓰라고 만든건지. 도대체 어떤게 있는지 알수가 없다. 카테고리분류나 전체 리스트도 없고 자막 개판이고 그나마 한글 자막없는것도 많다. 이걸 서비스라고 만들었나?,1,2,1.0
아니..주말에 정주행하려고 다운받고 이용권 구매했는데 프로그램이 안나오고 공지타고 들어가서 본 문제 프로그램도 아닌데 아직까지 해결 안되는건 대체 뭐지? 무슨 시스템관리를 이렇게 하나요? 이주 걸리니 그동안은 최근거 보라는 답글 보니 놀랍네요 웨이브는 문제생겨도 일처리 쉬우니 좋겠어요!ㅋㅋ,0,0,0.0
업데이트하고 버벅이고 재생가능한 기기는 점점줄이고 점점퇴보하는 느낌 돈값 좀 합시다. OTT 늘고 있는데 티빙쓸이유가 점점 사라지네요. 소비자있을때 잘합시다.,0,0,0.0
왜 같은 기기인데....아이디 마다 어떤건 재생속도 조절되고 어떤 아이디는 재생속도 조절 안되는건가요??,0,0,0.0
"와...깔지마셈 아니 왜다 3분 미리보기아님 1분 30초 미리보기임..';; 진짜 어이털림-,-",0,0,0.0
앱이 구려요 느리고 특히 스마트tv용 앱은 현재 나와있는 ott 앱중 가장 불편하고 느림 다른 ott 회사 앱들을 벤치마킹 안하나요? 앱 개발팀들은 뭐하는지 다 fire 시켜야함,0,0,0.0
"항상 팝업모드로만 봤었는데 몇일전 업데이트 이후 팝업모드 누르면 아예 영상이 꺼져버리는데 저만 그런가요? 사용기종. 노트20울트라, 폴드2 둘다 같은현상",1,1,3.0
화면이 검게 되어서 제가 좋아하는 영상을 못 보게 하네요. 아놔 진짜 열불나네~~ 결제해서 볼려고 하는데 전부다 검게 변해있어요. 제발 좀 고치세요.,1,1,2.0
갑자기 플레이 안되요. 업데이트 하라는데 어떤걸 업데이트 할까요 기기 기종에 따라 안될수 있나요 현재 갤럭시 s8+사용 중 입니다.,1,1,3.0
끊김이너무 심해서 볼수가 없어요.. 얼마전부터 계속 그러는데.. 삭제후 다시 설치해봐도 마찬가지고..짜증나서.. 이럴거면 왜 유료결제 하나요.. 무료서비도 광고땜에 그렇지 이렇진 않아요,1,3,1.0
ㅋ개인정보 달달허제? 무료체험 동의 무한 츠쿠요미 운영 참 잘한다 ^^ 앱재설치 골백번 해도 안되더라 답변에 똑같은 내용 앵무새맹키로 복붙하지 말고 실질적인 해결법을 알려주렴,0,0,0.0
재미없는 컨텐츠에 그나마 EPL볼려고 결제 했는데 장난하냐 접속도 안되고 환불도 해지도 어렵게 만들고 돈 내놔라,0,0,0.0
돈내고 보는데 왜 데이터로 할땐 재생이 잘되는데 와이파이만 연결하면 왜 영상이 멈추고 재생도 안되고 버퍼링만 반복하는거죠? 빠른 조치좀여,1,3,3.0
아니 전날까지 검색 및 결제와 방송시청이 가능하더니 몇시간 지나니 검색해도 방송이 안뜨는건 뭔가요?결제해서 돈은 돈대로 받아쳐먹고 방송이 뜨지도 않고 완전 옥수수보다도 못하면서 광고는 과대광고만 쳐해대고 완전 실망투성이네요,0,0,0.0
"하위 os에 대한 지원종료라... 다른 유명 OTT들은 고도화가 되어 있지 않아 다운 가능하나, 웨이브만 고도화되어 실행불가인가요? 개발팀의 안이한 대처라고 보이는데요. 나이 드신 친정엄마가 구형 탭에 웨이브 잘 보고 계셨는데 이젠 볼 필요 없겠군요.",0,0,0.0
진짜 서버 왜이러세요? 서버 이렇게만들거면 왜만들었지? 진짜 개빡치네 너무끊겨 진짜 아예 화면도 안나오고,1,1,1.0
오리지널 콘텐츠와 각종 다양한 콘텐츠들을 볼 수 있어서 좋네요. 하지만 왜 다른나라에서는 볼 수 있는 것들이 한국에서는 못 보는지 궁금합니다... 나라마다 약간씩 차이는 있겠지만 유독 한국은 볼 수 있는 게 더욱 적은 것 같아요ㅜㅜ 미국보다 3배 정도 차이가 나니...,1,4,4.0
자막이랑 소리는 나오는데 화면이 검정색으로 아무것도 안나오네요. 리뷰보니까 이런 에러 리뷰 많던데 오류좀 빨리 수정하세요,1,1,2.0
"결제수단 구글플레이로 해놨는데 구글 1번, 왓챠 1번 총 2번 결제되서 환불요청 했는데 7900원만 환불되고 나머지 7900원 환불안해주네요. 뭐하자는겁니까 ㅡㅡ 나머지도 환불해줘요",0,0,0.0
너무 느려요 접속도 시간 많이걸리고 웨이브 왓챠 넷플릭스 다 사용 해봤지만 다른것들은 접속 잘됐는데 티빙만 접속시 오류 너무 많아요,1,1,1.0
구매할려는데 왠이상한 나라언어로 돼있어서 구매도못하고 보니까 언어도 걔정만든후바꿀수있어서 못보고있네요 이걸 영어로 아니면 한국어로해주세요,0,0,0.0
사용자인증 구매하려고 눌렀는데 왜 로딩만되고 안되나요 오류 고쳐주세요 네트워크 문제없는환경입니다,1,3,1.0
보고싶어도 계속접수할수없다고 하는데 다시 깔아도 안되네요 이제 정기구매안하려구 하는데 18일결제하고 취소함. 환불됩니까?,0,0,0.0
실시간티비 왜케끊깁니까??? 1분보면 5초끊기고 30초보고또끊기고 올레티비모바일도시즌으로바뀌고 실시간티비겁나끊기던데 웨이브도 푹에서바뀌고 진짜못쓰게바꼈네요ㅡㅡ 푹은진짜정기결제하면서 잘썼는데 웨이브고 시즌이고 정기결제다끊어야할판이네요..통합을했으면 잘좀만들던가 어뜨케 새로바뀌고 옛날만치도못합니까,1,3,4.0
컨텐츠 다 좋고 뭐 다 좋은데 영상 하나 보려면 로딩을 20분동안 하는게 진짜 사람 미치게하네요.. 영상 로딩도 잘 안되고. 오프닝 건너뛰기도 오래걸리고. 화면 크게보려고하면 로딩걸리고. 어느날은 한번에 로딩끝나서 바로 재생될 때도 있고 어느날은 30분 로딩될때도 있고 이게 아주아주 큰 단점입니다,1,3,3.0
잘되다가 근래들어서 또 버퍼링이랑 렉이 심하네요 점검안하시나요 다른 앱에 비해 심한듯 유료로 보는데 이건아니지않나요,1,3,1.0
티비로 볼려고 비싼 요금제 1년치 결제했더니 한달도 안되서 크롬캐스트를 막아버리네 완전 양아치아냐. 환불도 안해줄꺼면서.,0,0,0.0
너무 볼게없네요 옛날꺼 다본거만 잔뜩있고 어느날드라마 이거 하나볼만한데 다올라온것도아니고 너무 후짐,1,4,1.0
크라이저라는 셋톱박스로 잘이용해왔는데 업데이트 후부터 연결이안되네요 앱을 눌러도 실행이안되고 더이상 이용이불가능한건가요?너무 돈아깝네요,1,1,3.0
갤럭시10사용중인사람입니다 진짜 휴대폰으로 못보겠네요 화질이 왜이런가요 고화질요금내고 보는데도 이런거면 문제가있다고 생각됩니다,1,1,3.0
아니 말이됨????...페이코를 지운지가 언젠데 갑자기 페이코로 연결되어서 결제되고 나는 그것도 모르고 영화 한 편 다는 아니지만 봤음....처리해주세요...이런일이 있을까봐 페이코랑 이런 결제앱 지웠는데 이런일이 있으면 어떡합니까...처음에 무료라고 적혀있기까지 했는데...답변 처리 부탁드립니다.빨리요....,0,0,0.0
헤이딜러 광고 종일나온다. 토나올정도다. 이러니 넥플릭스와 상대가 될리있나 광고 정도껏해라. 망하는거 순간이다. tv 채널 몇개 있어서 보긴하는데 유료앱으로 갈아타련다.,0,0,0.0
무비 프리미엄 이용권은 드라마 시청을 못하나요??방종 된 드라마 볼라고 하니 구매 하라고 나오던데 이거 뭔가요?,0,0,0.0
아니 왜 해지하기 버튼 없어졋어요 와이파이 잘안되서 해지하기 어리바리타다가 안되서 나갔다가 다시 들어왔더니 해지하기 버튼자체가 사라졌네요 개ㅆ1ㅂ,0,0,0.0
시즌 변경하는 곳이 아무리 찾아도 없어요. UI가 바뀐 건가요 잘 방영하던 시즌이 통째로 사라진건가요? UI변경했음 설명이라도 해 줘야지 시즌 변경하는 버튼 어디다 꽁꽁 숨겨놓고 개발자만 알고 있으면 어떻게해요?,1,2,3.0
글 잘 안 쓰는데!! 너무하네 진짜!!! 어떻게 된게!! 업데이트 하더니 더 안 좋아지는겁니까?? 몇일째 안되고 있는데!!! 왜!!!!수정을 안해!!!!!!!,0,0,0.0
버퍼링 개심해요 제인터넷환경 탓하는 복사글 말고요 제대로좀 알아보고 답글쓰세요 집에서보는거고 다른 티빙이나 웨이브는 아무 문제없음 그럼 쿠팡문제아님? 또 이동중이라는둥 사용자환경탓하는 복사글 남기지마삼 없어보임!!!!!!!!!!!!!!!!,1,3,1.0
채팅상담 답변오는데 하세월ㅡㅡ 핀 숫자안눌림 아니 킹스맨 한번보려다가 개빡침 인증받으라는데 숫자가 먹혀야 인증을 하든가말든가 하지요? 그리고 거의 모바일 사용이지 컴터 안쓰면 인증도 못받것네요? 무슨 복잡도 이딴 아휴...,0,0,0.0
일단 배속이 없다는 치명적인단점....컨텐츠도 부족하나 이건 늘어날거라 믿음. 앱이 최근에 만들어진 거라 믿을수 없이 안좋음. 넷플 BM필요.,1,2,2.0
